TYPE,AREA,DIRECTION,MOUNT,HEIGHT,ANGLE,THUMBNAIL,IMAGE,SIGN,CSIGN,LAT,LON
0,2,-1,0,3,15,null,null,y,n,53.553483273401014,10.021344630940177
1,2,-1,0,4,-1,null,null,undef,undef,53.55228826101286,9.934969134363058
1,2,-1,0,3,-1,null,null,undef,undef,53.55242824834407,9.93468759283465
1,2,-1,0,3,-1,null,null,undef,undef,53.55206533948794,9.934717283303712
1,2,-1,1,3,-1,null,null,undef,undef,53.55200866988198,9.934718546727936
0,3,184,2,5,36,null,null,undef,undef,53.55204319706816,9.934659797501837
1,2,-1,3,3,-1,null,null,undef,undef,53.55199879390853,9.93481209740969
1,2,-1,1,3,-1,null,null,undef,undef,53.5519823771457,9.93481930610082
0,2,273,2,3,15,null,null,undef,undef,53.55199629570589,9.934845137244054
0,2,169,2,7,15,null,null,undef,undef,53.55197457882874,9.934864484566475
1,2,-1,3,5,-1,null,null,undef,undef,53.55176412763297,9.93478326341409
1,2,-1,3,4,-1,null,null,undef,undef,53.55175619842447,9.933698138280988
1,2,-1,2,4,-1,null,null,undef,undef,53.55185348890044,9.933634372433744
0,2,-1,3,3,15,null,null,undef,undef,53.55200982953144,9.930771725358568
0,2,258,2,2,15,null,null,undef,undef,53.552156538648944,9.930605992462432
0,2,193,2,2,15,null,null,undef,undef,53.55226828197813,9.930482628353474
0,2,160,2,3,15,null,null,undef,undef,53.55503625666086,9.934307981717495
1,2,-1,3,4,-1,null,null,undef,undef,51.95598469771902,7.636832066582372
1,2,-1,3,4,-1,null,null,undef,undef,51.95599632826499,7.63700124586569
1,2,-1,3,5,-1,null,null,undef,undef,51.95635656917206,7.637359085640185
1,2,-1,3,5,-1,null,null,undef,undef,51.95695317266771,7.637542162427792
1,2,-1,3,4,-1,null,null,undef,undef,51.95617535521701,7.637306577400864
1,2,-1,3,4,-1,null,null,undef,undef,51.95640873514556,7.637265273235101
1,2,-1,3,4,-1,null,null,undef,undef,51.956375953686035,7.637259817428685
1,2,-1,3,4,-1,null,null,undef,undef,51.95734257640027,7.637719469117712
0,1,262,1,3,15,null,null,undef,undef,51.94733646502549,7.63870000294861
0,2,-1,0,5,15,null,null,undef,undef,51.951456865118054,7.6340116621330765
